Source_IP,Source_PORT,Destination_IP,Destination_PORT,TYPE_Protokol,TotalLength,CSD_Payload_1Gram,CSD_Payload_2Gram,CSD_Payload_3Gram,CSD_Payload_4Gram,CSD_Payload_5Gram,CSD_Payload_6Gram,CS_Payload_1Gram,CS_Payload_2Gram,CS_Payload_3Gram,CS_Payload_4Gram,CS_Payload_5Gram,CS_Payload_6Gram,Target
2852026205,137,2852061183,137,1,40,72.4834,1.7128,1.685,1.6557,8.6994,2.3,0.99853481,0.99853481,0.777964924,0.99853481,0.99853481,0.9985348,1
2886808529,5353,3758096635,5353,1,40,4.7665,5.2167,11.256,0.9336,70.0987,3.6965,0.999999032,0.999999032,0.719182208,0.999999032,0.999999032,0.999999,1
3232257838,50926,171140138,7680,1,40,1.0641,5.208,8.22,5.2296,69.4236,0.1512,0.716735095,0.716735095,0.980990923,0.716735095,0.716735095,0.7167351,0
2852026205,5353,3758096635,5353,1,40,0.1072,4.3185,76.3247,28.873,0.4621,13.9379,0.74282361,0.74282361,0.977525629,0.74282361,0.74282361,0.7428236,0
3232257838,137,3232260095,137,1,40,3.9703,7.5098,8.22,9.3783,1,1,0.742823622,0.742823622,0.911136081,0.742823622,0.742823622,0.7428236,0
3232257838,50925,3232258764,7680,1,40,2.0252,7.5098,1,0.1459,68.7517,4.8232,1,1,0.777964925,1,1,1,1
2852026205,5353,3758096635,5353,1,40,3.7008,1.8167,74.9191,0.0739,2.9181,2.3,0.817257928,0.817257928,0.716167729,0.817257928,0.817257928,0.8172579,0
3232257838,137,3232260095,137,1,40,1.5556,0.5132,5.5041,1.8123,68.417,0.5127,0.914039136,0.914039136,0.730775288,0.914039136,0.914039136,0.9140391,1
3232257838,50929,167840012,7680,1,40,6.451,0.2034,1,3.2776,4.785,0.5769,0.997492697,0.997492697,1,0.997492697,0.997492697,0.9974927,1
2852026205,5353,3758096635,5353,3,328,3.7008,0.5132,10.8272,0.1192,2.611,0.2017,0.961910894,0.961910894,0.998534659,0.961910894,0.961910894,0.9619109,1
2886808529,137,2886808543,137,1,40,0.0965,0.5132,0.1345,0.5132,0.073,0.0553,0.841568491,0.841568491,0.777964909,0.841568491,0.841568491,0.8415685,0
3232257838,50926,171140138,7680,3,328,23.1476,3.9671,30.7851,3.3982,13.1905,0.5843,0.261207087,0.261207087,1,0.261207087,0.261207087,0.2612071,0
2852026205,5353,3758096635,5353,3,201,7.8848,0.6076,4.7951,3.2853,2.9181,0.9618,0.720837471,0.720837471,0.690509385,0.720837471,0.720837471,0.7208375,0
2886808529,137,2886808543,137,1,40,2.4797,3.2776,3.0166,1.5604,0.4348,0.4037,0.742823611,0.742823611,0.910058326,0.742823611,0.742823611,0.7428236,0
3232257838,50928,167840013,7680,1,40,23.1476,1.7891,0.2703,0.5492,18.1488,0.3687,0.788513391,0.788513391,0.958629214,0.788513391,0.788513391,0.7885134,0
3232257838,137,3232260095,137,1,40,19.4317,1.5488,0.6249,7.5098,13.5279,2.3,0.74282361,0.74282361,0.99924029,0.74282361,0.74282361,0.7428236,0
2852026205,137,2852061183,137,1,52,11.0276,5.1923,5.9403,5.1923,0.8368,3.5182,0.838453275,0.838453275,0.788509898,0.838453275,0.838453275,0.8384533,0
3232257838,50921,3232240699,7680,1,40,0.8316,5.1923,0.1516,0.0782,0.8219,2.3,1,1,0.873471963,1,1,1,1
3232257838,137,3232260095,137,3,78,3.7008,0.5132,14.7544,0.1546,0.2534,2.3,0.786563821,0.786563821,0.742245293,0.786563821,0.786563821,0.7865638,0
2852026205,137,2852061183,137,3,201,71.4548,1.7768,7.8559,0.5132,1,13.9379,0.9866817,0.9866817,0.959237182,0.9866817,0.9866817,0.9866817,1
3232257838,50925,3232258764,7680,1,40,3.7008,1.5971,27.4079,0.7544,8.6994,1.0774,0.742823613,0.742823613,0.716735084,0.742823613,0.742823613,0.7428236,0
2886808529,137,2886808543,137,1,40,1,4.3871,14.7544,0.5132,18.1488,13.9379,0.999999805,0.999999805,0.998534672,0.999999805,0.999999805,0.9999998,1
3232257838,137,3232260095,137,1,40,0.5285,0.4959,1,5.2135,2.9181,5.0226,0.98298379,0.98298379,0.999036123,0.98298379,0.98298379,0.9829838,1
3232257838,50925,3232258764,7680,1,40,3.7008,7.5098,2.6898,1.953,8.6994,2.3,1,1,0.958074246,1,1,1,1
2886808529,137,2886808543,137,1,40,12.5909,4.2057,1,7.5098,2.611,2.3,0.714742845,0.714742845,0.73931937,0.714742845,0.714742845,0.7147428,0
3232257838,137,3232260095,137,1,40,2.4797,5.1886,75.6203,7.5098,2.9181,2.3,0.714740892,0.714740892,0.742823611,0.714740892,0.714740892,0.7147409,0
3232257838,50925,3232258764,7680,1,40,71.7969,0.2365,14.7544,0.3361,68.417,3.6965,0.977661474,0.977661474,0.831531458,0.977661474,0.977661474,0.9776615,1
2852026205,137,2852061183,137,1,40,11.0276,28.873,30.7851,0.5132,6.6963,1,0.310315448,0.310315448,0.997182898,0.310315448,0.310315448,0.3103154,0
2886808529,5353,3758096635,5353,1,40,0.6951,1.6976,0.9096,0.2104,68.417,0.5769,0.910129309,0.910129309,0.990721555,0.910129309,0.910129309,0.9101293,1
3232257838,50926,171140138,7680,3,202,3.7008,1.4693,74.5734,0.5492,1,0.9286,0.877917643,0.877917643,1,0.877917643,0.877917643,0.8779176,1
2852026205,137,2852061183,137,1,40,0.0856,0.1577,0.5378,5.2135,2.9181,1.0187,0.173706077,0.173706077,0.923943102,0.173706077,0.173706077,0.1737061,0
2886808529,5353,3758096635,5353,1,40,71.4548,4.3459,1.5133,0.1916,69.4236,1,0.804568987,0.804568987,0.739302287,0.804568987,0.804568987,0.804569,0
3232257838,50924,3232258757,7680,1,40,0.1195,3.2776,11.256,5.2801,0.2457,0.2017,0.9048091,0.9048091,0.985498497,0.9048091,0.9048091,0.9048091,1
3232257838,137,3232260095,137,1,40,10.5,7.5098,15.1953,4.3871,13.5279,2.3,0.77796496,0.77796496,0.742823586,0.77796496,0.77796496,0.777965,0
